,model,ngram_range,min_df,max_df,max_features,test_accuracy,train_f1,test_f1,gap_percent,comments
0,LogisticRegression,"(1, 1)",1,1.0,10000,0.9292929292929293,0.9667951933515517,0.9280714817572598,3.87,"ngram=(1, 1), min_df=1"
1,LogisticRegression,"(1, 1)",5,1.0,10000,0.9292929292929293,0.9601258002920364,0.928157072735386,3.2,"ngram=(1, 1), min_df=5"
2,LogisticRegression,"(1, 2)",1,1.0,10000,0.9338310642658468,0.9730946752223348,0.9325574455386452,4.05,"ngram=(1, 2), min_df=1"
3,LogisticRegression,"(1, 2)",5,1.0,10000,0.9330991070121505,0.9703951071254362,0.9317808628153456,3.86,"ngram=(1, 2), min_df=5"
4,LogisticRegression,"(2, 2)",1,1.0,10000,0.8468745425267165,0.9121694646588371,0.8525930101465614,5.96,"ngram=(2, 2), min_df=1"
5,LogisticRegression,"(2, 2)",5,1.0,10000,0.8211096471966037,0.8652536483669214,0.8326944140197152,3.26,"ngram=(2, 2), min_df=5"
6,LinearSVC,"(1, 1)",1,1.0,10000,0.9244620114185331,0.9895339206385061,0.9227082085080887,6.68,"ngram=(1, 1), min_df=1"
7,LinearSVC,"(1, 1)",5,1.0,10000,0.9199238764456156,0.9787298008267569,0.918076980679946,6.07,"ngram=(1, 1), min_df=5"
8,LinearSVC,"(1, 2)",1,1.0,10000,0.9278290147855365,0.9955552207322586,0.9258088788562829,6.97,"ngram=(1, 2), min_df=1"
9,LinearSVC,"(1, 2)",5,1.0,10000,0.9260723173766652,0.994577088197635,0.9240487291322004,7.05,"ngram=(1, 2), min_df=5"
10,LinearSVC,"(2, 2)",1,1.0,10000,0.8341384863123994,0.9315305570578691,0.8413831723365532,9.01,"ngram=(2, 2), min_df=1"
11,LinearSVC,"(2, 2)",5,1.0,10000,0.8152539891670326,0.8735807784451929,0.8278777959629023,4.57,"ngram=(2, 2), min_df=5"
12,MultinomialNB,"(1, 1)",1,1.0,10000,0.9259259259259259,0.9403718258766627,0.9230769230769231,1.73,"ngram=(1, 1), min_df=1"
13,MultinomialNB,"(1, 1)",5,1.0,10000,0.9244620114185331,0.9329247531494722,0.9215328467153284,1.14,"ngram=(1, 1), min_df=5"
14,MultinomialNB,"(1, 2)",1,1.0,10000,0.9287073634899722,0.9393939393939394,0.9260215707124412,1.34,"ngram=(1, 2), min_df=1"
15,MultinomialNB,"(1, 2)",5,1.0,10000,0.9281217976870151,0.9383434771103466,0.9254365983295368,1.29,"ngram=(1, 2), min_df=5"
16,MultinomialNB,"(2, 2)",1,1.0,10000,0.8225735617039965,0.866848699004176,0.800329489291598,6.65,"ngram=(2, 2), min_df=1"
17,MultinomialNB,"(2, 2)",5,1.0,10000,0.7896354852876593,0.7936427424127145,0.7534740092640247,4.02,"ngram=(2, 2), min_df=5"
